date,block,metric,rating_band,vintage,value
2026-07-08,price_stat,AVERAGE PRICE,CBO/CDO/CLO,PRE-2023,97.9
2026-07-08,price_stat,AVERAGE PRICE,CBO/CDO/CLO,2023-2026,99.9
2026-07-08,price_stat,AVERAGE PRICE,AAA,PRE-2023,100.1
2026-07-08,price_stat,AVERAGE PRICE,AAA,2023-2026,100.1
2026-07-08,price_stat,AVERAGE PRICE,NON-AAA IG,PRE-2023,99.3
2026-07-08,price_stat,AVERAGE PRICE,NON-AAA IG,2023-2026,99.7
2026-07-08,price_stat,AVERAGE PRICE,NON-INVESTMENT GRADE,PRE-2023,92.2
2026-07-08,price_stat,AVERAGE PRICE,NON-INVESTMENT GRADE,2023-2026,99.7
2026-07-08,price_stat,WEIGHTED AVG. PRICE,CBO/CDO/CLO,PRE-2023,98.6
2026-07-08,price_stat,WEIGHTED AVG. PRICE,CBO/CDO/CLO,2023-2026,99.9
2026-07-08,price_stat,WEIGHTED AVG. PRICE,AAA,PRE-2023,100.1
2026-07-08,price_stat,WEIGHTED AVG. PRICE,AAA,2023-2026,100.0
2026-07-08,price_stat,WEIGHTED AVG. PRICE,NON-AAA IG,PRE-2023,99.2
2026-07-08,price_stat,WEIGHTED AVG. PRICE,NON-AAA IG,2023-2026,99.8
2026-07-08,price_stat,WEIGHTED AVG. PRICE,NON-INVESTMENT GRADE,PRE-2023,92.9
2026-07-08,price_stat,WEIGHTED AVG. PRICE,NON-INVESTMENT GRADE,2023-2026,99.7
2026-07-08,price_stat,AVG. PRICE BOTTOM 5 TRADES,CBO/CDO/CLO,PRE-2023,75.9
2026-07-08,price_stat,AVG. PRICE BOTTOM 5 TRADES,CBO/CDO/CLO,2023-2026,96.9
2026-07-08,price_stat,AVG. PRICE BOTTOM 5 TRADES,AAA,PRE-2023,99.9
2026-07-08,price_stat,AVG. PRICE BOTTOM 5 TRADES,AAA,2023-2026,99.9
2026-07-08,price_stat,AVG. PRICE BOTTOM 5 TRADES,NON-AAA IG,PRE-2023,96.3
2026-07-08,price_stat,AVG. PRICE BOTTOM 5 TRADES,NON-AAA IG,2023-2026,97.0
2026-07-08,price_stat,AVG. PRICE BOTTOM 5 TRADES,NON-INVESTMENT GRADE,PRE-2023,75.9
2026-07-08,price_stat,AVG. PRICE BOTTOM 5 TRADES,NON-INVESTMENT GRADE,2023-2026,99.2
2026-07-08,price_stat,2ND QUARTILE PRICE,CBO/CDO/CLO,PRE-2023,97.5
2026-07-08,price_stat,2ND QUARTILE PRICE,CBO/CDO/CLO,2023-2026,99.9
2026-07-08,price_stat,2ND QUARTILE PRICE,AAA,PRE-2023,100.0
2026-07-08,price_stat,2ND QUARTILE PRICE,AAA,2023-2026,100.0
2026-07-08,price_stat,2ND QUARTILE PRICE,NON-AAA IG,PRE-2023,99.4
2026-07-08,price_stat,2ND QUARTILE PRICE,NON-AAA IG,2023-2026,99.8
2026-07-08,price_stat,2ND QUARTILE PRICE,NON-INVESTMENT GRADE,PRE-2023,89.1
2026-07-08,price_stat,2ND QUARTILE PRICE,NON-INVESTMENT GRADE,2023-2026,100.0
2026-07-08,price_stat,3RD QUARTILE PRICE,CBO/CDO/CLO,PRE-2023,100.0
2026-07-08,price_stat,3RD QUARTILE PRICE,CBO/CDO/CLO,2023-2026,100.1
2026-07-08,price_stat,3RD QUARTILE PRICE,AAA,PRE-2023,100.0
2026-07-08,price_stat,3RD QUARTILE PRICE,AAA,2023-2026,100.1
2026-07-08,price_stat,3RD QUARTILE PRICE,NON-AAA IG,PRE-2023,100.0
2026-07-08,price_stat,3RD QUARTILE PRICE,NON-AAA IG,2023-2026,100.1
2026-07-08,price_stat,3RD QUARTILE PRICE,NON-INVESTMENT GRADE,PRE-2023,95.0
2026-07-08,price_stat,3RD QUARTILE PRICE,NON-INVESTMENT GRADE,2023-2026,100.1
2026-07-08,price_stat,4TH QUARTILE PRICE,CBO/CDO/CLO,PRE-2023,100.1
2026-07-08,price_stat,4TH QUARTILE PRICE,CBO/CDO/CLO,2023-2026,100.1
2026-07-08,price_stat,4TH QUARTILE PRICE,AAA,PRE-2023,100.2
2026-07-08,price_stat,4TH QUARTILE PRICE,AAA,2023-2026,100.1
2026-07-08,price_stat,4TH QUARTILE PRICE,NON-AAA IG,PRE-2023,100.2
2026-07-08,price_stat,4TH QUARTILE PRICE,NON-AAA IG,2023-2026,100.2
2026-07-08,price_stat,4TH QUARTILE PRICE,NON-INVESTMENT GRADE,PRE-2023,97.4
2026-07-08,price_stat,4TH QUARTILE PRICE,NON-INVESTMENT GRADE,2023-2026,100.2
2026-07-08,price_stat,AVG. PRICE TOP 5 TRADES,CBO/CDO/CLO,PRE-2023,100.5
2026-07-08,price_stat,AVG. PRICE TOP 5 TRADES,CBO/CDO/CLO,2023-2026,100.8
2026-07-08,price_stat,AVG. PRICE TOP 5 TRADES,AAA,PRE-2023,100.4
2026-07-08,price_stat,AVG. PRICE TOP 5 TRADES,AAA,2023-2026,100.3
2026-07-08,price_stat,AVG. PRICE TOP 5 TRADES,NON-AAA IG,PRE-2023,100.4
2026-07-08,price_stat,AVG. PRICE TOP 5 TRADES,NON-AAA IG,2023-2026,100.7
2026-07-08,price_stat,AVG. PRICE TOP 5 TRADES,NON-INVESTMENT GRADE,PRE-2023,100.0
2026-07-08,price_stat,AVG. PRICE TOP 5 TRADES,NON-INVESTMENT GRADE,2023-2026,100.3
2026-07-08,price_stat,STANDARD DEVIATION,CBO/CDO/CLO,PRE-2023,5.6
2026-07-08,price_stat,STANDARD DEVIATION,CBO/CDO/CLO,2023-2026,0.8
2026-07-08,price_stat,STANDARD DEVIATION,AAA,PRE-2023,0.1
2026-07-08,price_stat,STANDARD DEVIATION,AAA,2023-2026,0.1
2026-07-08,price_stat,STANDARD DEVIATION,NON-AAA IG,PRE-2023,1.4
2026-07-08,price_stat,STANDARD DEVIATION,NON-AAA IG,2023-2026,1.1
2026-07-08,price_stat,STANDARD DEVIATION,NON-INVESTMENT GRADE,PRE-2023,9.1
2026-07-08,price_stat,STANDARD DEVIATION,NON-INVESTMENT GRADE,2023-2026,0.9
2026-07-08,volume_usd_000s,VOLUME OF TRADES (000'S),CBO/CDO/CLO,PRE-2023,700064.6
2026-07-08,volume_usd_000s,VOLUME OF TRADES (000'S),CBO/CDO/CLO,2023-2026,414942.0
2026-07-08,volume_usd_000s,VOLUME OF TRADES (000'S),AAA,PRE-2023,405399.3
2026-07-08,volume_usd_000s,VOLUME OF TRADES (000'S),AAA,2023-2026,247427.0
2026-07-08,volume_usd_000s,VOLUME OF TRADES (000'S),NON-AAA IG,PRE-2023,169700.5
2026-07-08,volume_usd_000s,VOLUME OF TRADES (000'S),NON-AAA IG,2023-2026,128290.0
2026-07-08,volume_usd_000s,VOLUME OF TRADES (000'S),NON-INVESTMENT GRADE,PRE-2023,124964.8
2026-07-08,volume_usd_000s,VOLUME OF TRADES (000'S),NON-INVESTMENT GRADE,2023-2026,39225.0
2026-07-08,volume_usd_000s,CUSTOMER BUY,CBO/CDO/CLO,PRE-2023,327858.4
2026-07-08,volume_usd_000s,CUSTOMER BUY,CBO/CDO/CLO,2023-2026,255092.0
2026-07-08,volume_usd_000s,CUSTOMER BUY,AAA,PRE-2023,185948.0
2026-07-08,volume_usd_000s,CUSTOMER BUY,AAA,2023-2026,164757.0
2026-07-08,volume_usd_000s,CUSTOMER BUY,NON-AAA IG,PRE-2023,85530.5
2026-07-08,volume_usd_000s,CUSTOMER BUY,NON-AAA IG,2023-2026,69285.0
2026-07-08,volume_usd_000s,CUSTOMER BUY,NON-INVESTMENT GRADE,PRE-2023,56379.9
2026-07-08,volume_usd_000s,CUSTOMER BUY,NON-INVESTMENT GRADE,2023-2026,21050.0
2026-07-08,volume_usd_000s,CUSTOMER SELL,CBO/CDO/CLO,PRE-2023,324316.2
2026-07-08,volume_usd_000s,CUSTOMER SELL,CBO/CDO/CLO,2023-2026,158850.0
2026-07-08,volume_usd_000s,CUSTOMER SELL,AAA,PRE-2023,171561.3
2026-07-08,volume_usd_000s,CUSTOMER SELL,AAA,2023-2026,81670.0
2026-07-08,volume_usd_000s,CUSTOMER SELL,NON-AAA IG,PRE-2023,84170.0
2026-07-08,volume_usd_000s,CUSTOMER SELL,NON-AAA IG,2023-2026,59005.0
2026-07-08,volume_usd_000s,CUSTOMER SELL,NON-INVESTMENT GRADE,PRE-2023,68584.9
2026-07-08,volume_usd_000s,CUSTOMER SELL,NON-INVESTMENT GRADE,2023-2026,18175.0
2026-07-08,volume_usd_000s,DEALER TO DEALER,NON-AAA IG,PRE-2023,0.0
2026-07-08,volume_usd_000s,DEALER TO DEALER,NON-AAA IG,2023-2026,0.0
2026-07-08,volume_usd_000s,DEALER TO DEALER,NON-INVESTMENT GRADE,PRE-2023,0.0
2026-07-08,volume_usd_000s,DEALER TO DEALER,NON-INVESTMENT GRADE,2023-2026,0.0
2026-07-08,volume_usd_000s,<= $1MM,CBO/CDO/CLO,PRE-2023,22218.7
2026-07-08,volume_usd_000s,<= $1MM,CBO/CDO/CLO,2023-2026,18245.0
2026-07-08,volume_usd_000s,<= $1MM,AAA,PRE-2023,10478.7
2026-07-08,volume_usd_000s,<= $1MM,AAA,2023-2026,3065.0
2026-07-08,volume_usd_000s,<= $1MM,NON-AAA IG,PRE-2023,7970.0
2026-07-08,volume_usd_000s,<= $1MM,NON-AAA IG,2023-2026,6255.0
2026-07-08,volume_usd_000s,<= $1MM,NON-INVESTMENT GRADE,PRE-2023,3770.0
2026-07-08,volume_usd_000s,<= $1MM,NON-INVESTMENT GRADE,2023-2026,8925.0
2026-07-08,volume_usd_000s,<= $10MM,CBO/CDO/CLO,PRE-2023,418533.3
2026-07-08,volume_usd_000s,<= $10MM,CBO/CDO/CLO,2023-2026,308697.0
2026-07-08,volume_usd_000s,<= $10MM,AAA,PRE-2023,155608.0
2026-07-08,volume_usd_000s,<= $10MM,AAA,2023-2026,156362.0
2026-07-08,volume_usd_000s,<= $10MM,NON-AAA IG,PRE-2023,141730.5
2026-07-08,volume_usd_000s,<= $10MM,NON-AAA IG,2023-2026,122035.0
2026-07-08,volume_usd_000s,<= $10MM,NON-INVESTMENT GRADE,PRE-2023,121194.8
2026-07-08,volume_usd_000s,<= $10MM,NON-INVESTMENT GRADE,2023-2026,30300.0
2026-07-08,volume_usd_000s,> $10MM,CBO/CDO/CLO,PRE-2023,259312.6
2026-07-08,volume_usd_000s,> $10MM,CBO/CDO/CLO,2023-2026,88000.0
2026-07-08,volume_usd_000s,> $10MM,AAA,PRE-2023,239312.6
2026-07-08,volume_usd_000s,> $10MM,AAA,2023-2026,88000.0
2026-07-08,volume_usd_000s,> $10MM,NON-AAA IG,2023-2026,0.0
2026-07-08,volume_usd_000s,> $10MM,NON-INVESTMENT GRADE,PRE-2023,0.0
2026-07-08,volume_usd_000s,> $10MM,NON-INVESTMENT GRADE,2023-2026,0.0
2026-07-08,trade_count,NUMBER OF TRADES,CBO/CDO/CLO,PRE-2023,161.0
2026-07-08,trade_count,NUMBER OF TRADES,CBO/CDO/CLO,2023-2026,112.0
2026-07-08,trade_count,NUMBER OF TRADES,AAA,PRE-2023,73.0
2026-07-08,trade_count,NUMBER OF TRADES,AAA,2023-2026,48.0
2026-07-08,trade_count,NUMBER OF TRADES,NON-AAA IG,PRE-2023,49.0
2026-07-08,trade_count,NUMBER OF TRADES,NON-AAA IG,2023-2026,43.0
2026-07-08,trade_count,NUMBER OF TRADES,NON-INVESTMENT GRADE,PRE-2023,39.0
2026-07-08,trade_count,NUMBER OF TRADES,NON-INVESTMENT GRADE,2023-2026,21.0
2026-07-08,trade_count,CUSTOMER BUY,CBO/CDO/CLO,PRE-2023,87.0
2026-07-08,trade_count,CUSTOMER BUY,CBO/CDO/CLO,2023-2026,63.0
2026-07-08,trade_count,CUSTOMER BUY,AAA,PRE-2023,44.0
2026-07-08,trade_count,CUSTOMER BUY,AAA,2023-2026,32.0
2026-07-08,trade_count,CUSTOMER BUY,NON-AAA IG,PRE-2023,22.0
2026-07-08,trade_count,CUSTOMER BUY,NON-AAA IG,2023-2026,21.0
2026-07-08,trade_count,CUSTOMER BUY,NON-INVESTMENT GRADE,PRE-2023,21.0
2026-07-08,trade_count,CUSTOMER BUY,NON-INVESTMENT GRADE,2023-2026,10.0
2026-07-08,trade_count,CUSTOMER SELL,CBO/CDO/CLO,PRE-2023,70.0
2026-07-08,trade_count,CUSTOMER SELL,CBO/CDO/CLO,2023-2026,48.0
2026-07-08,trade_count,CUSTOMER SELL,AAA,PRE-2023,25.0
2026-07-08,trade_count,CUSTOMER SELL,AAA,2023-2026,15.0
2026-07-08,trade_count,CUSTOMER SELL,NON-AAA IG,PRE-2023,27.0
2026-07-08,trade_count,CUSTOMER SELL,NON-AAA IG,2023-2026,22.0
2026-07-08,trade_count,CUSTOMER SELL,NON-INVESTMENT GRADE,PRE-2023,18.0
2026-07-08,trade_count,CUSTOMER SELL,NON-INVESTMENT GRADE,2023-2026,11.0
